Object,Probability
Object1,0.5
Object2,0.51
Object3,0.52
Object4,0.53
Object5,0.54
Object6,0.55
Object7,0.56
Object8,0.57
Object9,0.58
Object10,0.59
Object11,0.6
Object12,0.61
Object13,0.62
Object14,0.63
Object15,0.64
Object16,0.65
Object17,0.66
Object18,0.67
Object19,0.68
Object20,0.69
Object21,0.7
Object22,0.71
Object23,0.72
Object24,0.73
Object25,0.74
Object26,0.75
Object27,0.76
Object28,0.77
Object29,0.78
Object30,0.79
Object31,0.8
Object32,0.81
Object33,0.82
Object34,0.83
Object35,0.84
Object36,0.85
Object37,0.86
Object38,0.87
Object39,0.88
Object40,0.89
Object41,0.9
Object42,0.91
Object43,0.92
Object44,0.93
Object45,0.94
Object46,0.95
Object47,0.96
Object48,0.97
Object49,0.98
Object50,0.5
Object51,0.51
Object52,0.52
Object53,0.53
Object54,0.54
Object55,0.55
Object56,0.56
Object57,0.57
Object58,0.58
Object59,0.59
Object60,0.6
Object61,0.61
Object62,0.62
Object63,0.63
Object64,0.64
Object65,0.65
Object66,0.66
Object67,0.67
Object68,0.68
Object69,0.69
Object70,0.7
Object71,0.71
Object72,0.72
Object73,0.73
Object74,0.74
Object75,0.75
Object76,0.76
Object77,0.77
Object78,0.78
Object79,0.79
Object80,0.8
Object81,0.81
Object82,0.82
Object83,0.83
Object84,0.84
Object85,0.85
Object86,0.86
Object87,0.87
Object88,0.88
Object89,0.89
Object90,0.9
Object91,0.91
Object92,0.92
Object93,0.93
Object94,0.94
Object95,0.95
Object96,0.96
Object97,0.97
Object98,0.98
Object99,0.5
Object100,0.5
