Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_A,Instance1,271,-48,150,0.15,Instance2,271,-27,150,0.27,Instance3,271,-10,150,0.58
Object2_A,Instance1,758,-17,160,0.16,Instance2,758,-49,160,0.73,Instance3,758,-45,160,0.1
Object3_A,Instance1,411,-40,150,0.56,Instance2,411,-47,150,0.37,Instance3,411,-31,150,0.07
Object4_A,Instance1,628,-24,40,0.65,Instance2,628,-37,40,0.04,Instance3,628,-22,40,0.31
Object5_A,Instance1,596,-42,10,0.7,Instance2,596,-32,10,0.08,Instance3,596,-29,10,0.22
Object6_A,Instance1,3,-31,70,0.45,Instance2,3,-44,70,0.47,Instance3,3,-3,70,0.08
Object7_A,Instance1,522,-37,70,0.82,Instance2,522,-24,70,0.16,Instance3,522,-16,70,0.02
Object8_A,Instance1,992,-28,70,0.06,Instance2,992,-9,70,0.02,Instance3,992,-49,70,0.91
Object9_A,Instance1,127,-1,100,0.87,Instance2,127,-33,100,0.12,Instance3,127,-40,100,0.01
Object10_A,Instance1,906,-2,200,0.81,Instance2,906,-50,200,0.16,Instance3,906,-47,200,0.03
Object11_A,Instance1,600,-3,130,0.91,Instance2,600,-43,130,0.02,Instance3,600,-8,130,0.07
Object12_A,Instance1,736,-35,200,0.45,Instance2,736,-44,200,0.11,Instance3,736,-15,200,0.44
Object13_A,Instance1,541,-13,80,0.88,Instance2,541,-36,80,0.03,Instance3,541,-33,80,0.09
Object14_A,Instance1,646,-14,30,0.73,Instance2,646,-32,30,0.05,Instance3,646,-14,30,0.22
Object15_A,Instance1,517,-29,160,0.3,Instance2,517,-39,160,0.09,Instance3,517,-22,160,0.61
Object16_A,Instance1,256,-26,60,0.19,Instance2,256,-48,60,0.79,Instance3,256,-42,60,0.02
Object17_A,Instance1,54,-7,10,0.29,Instance2,54,-11,10,0.11,Instance3,54,-20,10,0.61
Object18_A,Instance1,369,-32,110,0.08,Instance2,369,-16,110,0.91,Instance3,369,-16,110,0.01
Object19_A,Instance1,937,-7,60,0.43,Instance2,937,-23,60,0.35,Instance3,937,-44,60,0.22
Object20_A,Instance1,404,-30,140,0.37,Instance2,404,-38,140,0.43,Instance3,404,-50,140,0.2
Object21_A,Instance1,740,-39,190,0.77,Instance2,740,-15,190,0.07,Instance3,740,-3,190,0.15
Object22_A,Instance1,314,-33,180,0.66,Instance2,314,-30,180,0.31,Instance3,314,-36,180,0.03
Object23_A,Instance1,758,-13,80,0.91,Instance2,758,-2,80,0.01,Instance3,758,-12,80,0.09
Object24_A,Instance1,233,-44,20,0.58,Instance2,233,-30,20,0.36,Instance3,233,-34,20,0.05
Object25_A,Instance1,23,-27,70,0.4,Instance2,23,-26,70,0.14,Instance3,23,-21,70,0.47
Object26_A,Instance1,382,-46,150,0.85,Instance2,382,-21,150,0.04,Instance3,382,-11,150,0.11
Object27_A,Instance1,930,-49,130,0.61,Instance2,930,-32,130,0.15,Instance3,930,-21,130,0.24
Object28_A,Instance1,548,-28,80,0.02,Instance2,548,-48,80,0.44,Instance3,548,-24,80,0.55
Object29_A,Instance1,630,-19,110,0.71,Instance2,630,-10,110,0.18,Instance3,630,-28,110,0.11
Object30_A,Instance1,490,-15,100,0.36,Instance2,490,-19,100,0.27,Instance3,490,-1,100,0.37
Object31_A,Instance1,81,-4,90,0.62,Instance2,81,-35,90,0.22,Instance3,81,-9,90,0.16
Object32_A,Instance1,316,-42,150,0.74,Instance2,316,-41,150,0.25,Instance3,316,-17,150,0.01
Object33_A,Instance1,261,-29,20,0.52,Instance2,261,-12,20,0.29,Instance3,261,-27,20,0.2
Object34_A,Instance1,327,-22,130,0.25,Instance2,327,-37,130,0.59,Instance3,327,-37,130,0.16
