Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_C,Instance1,455,-43,80,0.36,Instance2,455,-3,80,0.09,Instance3,455,-31,80,0.55
Object2_C,Instance1,910,-35,140,0.62,Instance2,910,-18,140,0.1,Instance3,910,-17,140,0.28
Object3_C,Instance1,651,-34,60,0.58,Instance2,651,-44,60,0.16,Instance3,651,-26,60,0.26
Object4_C,Instance1,798,-3,50,0.65,Instance2,798,-4,50,0.19,Instance3,798,-47,50,0.16
Object5_C,Instance1,310,-25,180,0.34,Instance2,310,-24,180,0.33,Instance3,310,-21,180,0.33
Object6_C,Instance1,463,-23,10,0.2,Instance2,463,-27,10,0.63,Instance3,463,-4,10,0.18
Object7_C,Instance1,563,-14,50,0.83,Instance2,563,-45,50,0.04,Instance3,563,-47,50,0.13
Object8_C,Instance1,451,-13,10,0.63,Instance2,451,-42,10,0.33,Instance3,451,-39,10,0.04
Object9_C,Instance1,1,-40,130,0.22,Instance2,1,-40,130,0.44,Instance3,1,-28,130,0.34
Object10_C,Instance1,416,-13,10,0.1,Instance2,416,-10,10,0.56,Instance3,416,-50,10,0.33
Object11_C,Instance1,219,-14,50,0.63,Instance2,219,-5,50,0.2,Instance3,219,-37,50,0.18
Object12_C,Instance1,569,-3,100,0.45,Instance2,569,-49,100,0.1,Instance3,569,-1,100,0.45
Object13_C,Instance1,603,-3,130,0.88,Instance2,603,-30,130,0.05,Instance3,603,-13,130,0.07
Object14_C,Instance1,774,-47,40,0.32,Instance2,774,-22,40,0.59,Instance3,774,-26,40,0.09
Object15_C,Instance1,375,-33,100,0.4,Instance2,375,-30,100,0.45,Instance3,375,-20,100,0.15
Object16_C,Instance1,53,-11,140,0.35,Instance2,53,-29,140,0.2,Instance3,53,-13,140,0.45
Object17_C,Instance1,664,-6,10,0.89,Instance2,664,-48,10,0.03,Instance3,664,-13,10,0.07
Object18_C,Instance1,756,-25,150,0.97,Instance2,756,-41,150,0.01,Instance3,756,-46,150,0.02
Object19_C,Instance1,641,-47,140,0.11,Instance2,641,-15,140,0.66,Instance3,641,-28,140,0.23
Object20_C,Instance1,214,-1,190,0.16,Instance2,214,-48,190,0.0,Instance3,214,-41,190,0.84
Object21_C,Instance1,441,-21,130,0.2,Instance2,441,-46,130,0.74,Instance3,441,-20,130,0.06
