Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_D,Instance1,834,-27,150,0.76,Instance2,834,-47,150,0.1,Instance3,834,-12,150,0.14
Object2_D,Instance1,48,-9,170,0.32,Instance2,48,-12,170,0.6,Instance3,48,-41,170,0.08
Object3_D,Instance1,711,-17,150,0.72,Instance2,711,-24,150,0.14,Instance3,711,-6,150,0.14
Object4_D,Instance1,611,-37,70,0.82,Instance2,611,-9,70,0.04,Instance3,611,-24,70,0.14
Object5_D,Instance1,656,-29,20,0.61,Instance2,656,-20,20,0.02,Instance3,656,-17,20,0.37
Object6_D,Instance1,108,-18,200,0.32,Instance2,108,-4,200,0.21,Instance3,108,-20,200,0.47
Object7_D,Instance1,476,-33,80,0.65,Instance2,476,-11,80,0.15,Instance3,476,-49,80,0.19
Object8_D,Instance1,615,-28,100,0.62,Instance2,615,-43,100,0.21,Instance3,615,-4,100,0.18
Object9_D,Instance1,834,-45,140,0.85,Instance2,834,-22,140,0.11,Instance3,834,-44,140,0.03
Object10_D,Instance1,826,-25,150,0.69,Instance2,826,-12,150,0.07,Instance3,826,-21,150,0.24
Object11_D,Instance1,868,-42,10,0.4,Instance2,868,-23,10,0.36,Instance3,868,-1,10,0.24
Object12_D,Instance1,963,-4,170,0.17,Instance2,963,-41,170,0.01,Instance3,963,-42,170,0.82
Object13_D,Instance1,948,-10,160,0.94,Instance2,948,-49,160,0.04,Instance3,948,-31,160,0.01
Object14_D,Instance1,746,-19,30,0.07,Instance2,746,-42,30,0.69,Instance3,746,-24,30,0.25
Object15_D,Instance1,508,-1,190,0.52,Instance2,508,-3,190,0.03,Instance3,508,-29,190,0.45
Object16_D,Instance1,692,-10,70,0.75,Instance2,692,-13,70,0.2,Instance3,692,-20,70,0.05
Object17_D,Instance1,234,-23,90,0.96,Instance2,234,-10,90,0.04,Instance3,234,-41,90,0.0
Object18_D,Instance1,427,-50,140,0.59,Instance2,427,-13,140,0.38,Instance3,427,-1,140,0.03
Object19_D,Instance1,865,-26,100,0.98,Instance2,865,-39,100,0.01,Instance3,865,-9,100,0.01
Object20_D,Instance1,617,-2,20,0.01,Instance2,617,-14,20,0.98,Instance3,617,-43,20,0.0
Object21_D,Instance1,369,-39,10,0.66,Instance2,369,-31,10,0.29,Instance3,369,-36,10,0.06
Object22_D,Instance1,379,-1,10,0.42,Instance2,379,-42,10,0.27,Instance3,379,-41,10,0.32
Object23_D,Instance1,678,-39,50,0.8,Instance2,678,-33,50,0.18,Instance3,678,-41,50,0.02
Object24_D,Instance1,771,-27,170,0.21,Instance2,771,-18,170,0.1,Instance3,771,-24,170,0.69
Object25_D,Instance1,775,-33,200,0.77,Instance2,775,-21,200,0.21,Instance3,775,-48,200,0.02
Object26_D,Instance1,74,-3,70,0.93,Instance2,74,-32,70,0.0,Instance3,74,-7,70,0.07
Object27_D,Instance1,758,-41,80,0.35,Instance2,758,-50,80,0.32,Instance3,758,-17,80,0.33
Object28_D,Instance1,473,-1,70,0.76,Instance2,473,-30,70,0.19,Instance3,473,-46,70,0.05
Object29_D,Instance1,421,-14,110,0.6,Instance2,421,-50,110,0.05,Instance3,421,-17,110,0.35
Object30_D,Instance1,26,-39,130,0.77,Instance2,26,-47,130,0.17,Instance3,26,-45,130,0.06
Object31_D,Instance1,872,-26,100,0.35,Instance2,872,-12,100,0.22,Instance3,872,-49,100,0.43
Object32_D,Instance1,667,-34,190,0.93,Instance2,667,-23,190,0.01,Instance3,667,-38,190,0.06
Object33_D,Instance1,670,-2,80,0.16,Instance2,670,-2,80,0.65,Instance3,670,-12,80,0.19
Object34_D,Instance1,686,-32,80,0.45,Instance2,686,-7,80,0.39,Instance3,686,-33,80,0.16
Object35_D,Instance1,304,-1,150,0.2,Instance2,304,-37,150,0.74,Instance3,304,-23,150,0.07
Object36_D,Instance1,764,-26,120,0.84,Instance2,764,-2,120,0.05,Instance3,764,-46,120,0.11
Object37_D,Instance1,325,-21,60,0.7,Instance2,325,-35,60,0.08,Instance3,325,-45,60,0.22
Object38_D,Instance1,29,-4,160,0.15,Instance2,29,-12,160,0.11,Instance3,29,-28,160,0.73
Object39_D,Instance1,125,-44,50,0.7,Instance2,125,-25,50,0.21,Instance3,125,-48,50,0.09
Object40_D,Instance1,508,-45,90,0.46,Instance2,508,-25,90,0.09,Instance3,508,-43,90,0.44
Object41_D,Instance1,869,-13,40,0.89,Instance2,869,-33,40,0.01,Instance3,869,-4,40,0.1
Object42_D,Instance1,408,-28,50,0.95,Instance2,408,-40,50,0.0,Instance3,408,-44,50,0.05
Object43_D,Instance1,213,-31,70,0.39,Instance2,213,-13,70,0.09,Instance3,213,-9,70,0.53
Object44_D,Instance1,179,-21,80,0.55,Instance2,179,-22,80,0.18,Instance3,179,-23,80,0.28
Object45_D,Instance1,983,-2,110,0.64,Instance2,983,-26,110,0.02,Instance3,983,-21,110,0.34
Object46_D,Instance1,62,-49,90,0.41,Instance2,62,-5,90,0.13,Instance3,62,-38,90,0.46
Object47_D,Instance1,572,-38,10,0.13,Instance2,572,-43,10,0.84,Instance3,572,-28,10,0.04
Object48_D,Instance1,485,-28,130,0.25,Instance2,485,-2,130,0.71,Instance3,485,-18,130,0.04
