Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1,Instance1,189,-31,30,0.19,Instance2,189,-16,30,0.78,Instance3,189,-28,30,0.03
Object2,Instance1,247,-29,190,0.44,Instance2,247,-25,190,0.21,Instance3,247,-45,190,0.34
Object3,Instance1,188,-32,160,0.04,Instance2,188,-25,160,0.22,Instance3,188,-10,160,0.73
Object4,Instance1,546,-8,190,0.51,Instance2,546,-35,190,0.23,Instance3,546,-29,190,0.26
Object5,Instance1,820,-25,160,0.97,Instance2,820,-43,160,0.01,Instance3,820,-2,160,0.02
Object6,Instance1,379,-21,20,0.07,Instance2,379,-21,20,0.76,Instance3,379,-49,20,0.17
Object7,Instance1,592,-3,170,0.78,Instance2,592,-48,170,0.21,Instance3,592,-15,170,0.0
Object8,Instance1,228,-35,140,0.52,Instance2,228,-18,140,0.32,Instance3,228,-21,140,0.16
Object9,Instance1,910,-24,150,0.82,Instance2,910,-9,150,0.03,Instance3,910,-17,150,0.16
Object10,Instance1,844,-34,100,0.28,Instance2,844,-43,100,0.15,Instance3,844,-47,100,0.57
Object11,Instance1,401,-27,200,0.37,Instance2,401,-35,200,0.39,Instance3,401,-16,200,0.25
Object12,Instance1,108,-47,120,0.43,Instance2,108,-32,120,0.08,Instance3,108,-50,120,0.49
Object13,Instance1,689,-39,100,0.38,Instance2,689,-24,100,0.36,Instance3,689,-48,100,0.26
Object14,Instance1,760,-44,190,0.74,Instance2,760,-1,190,0.23,Instance3,760,-19,190,0.02
Object15,Instance1,873,-31,170,0.91,Instance2,873,-15,170,0.06,Instance3,873,-10,170,0.03
Object16,Instance1,154,-3,190,0.77,Instance2,154,-13,190,0.09,Instance3,154,-18,190,0.14
Object17,Instance1,387,-10,130,0.78,Instance2,387,-5,130,0.04,Instance3,387,-1,130,0.18
Object18,Instance1,503,-1,170,0.58,Instance2,503,-49,170,0.14,Instance3,503,-17,170,0.28
Object19,Instance1,893,-33,190,0.18,Instance2,893,-31,190,0.21,Instance3,893,-14,190,0.62
Object20,Instance1,355,-10,190,0.1,Instance2,355,-49,190,0.42,Instance3,355,-35,190,0.48
Object21,Instance1,494,-20,40,0.72,Instance2,494,-14,40,0.18,Instance3,494,-29,40,0.1
Object22,Instance1,866,-29,110,0.07,Instance2,866,-17,110,0.3,Instance3,866,-26,110,0.62
Object23,Instance1,804,-48,50,0.89,Instance2,804,-24,50,0.05,Instance3,804,-19,50,0.06
Object24,Instance1,854,-10,60,0.43,Instance2,854,-19,60,0.1,Instance3,854,-34,60,0.47
Object25,Instance1,161,-14,40,0.45,Instance2,161,-31,40,0.3,Instance3,161,-10,40,0.25
Object26,Instance1,12,-33,100,0.49,Instance2,12,-48,100,0.06,Instance3,12,-11,100,0.45
Object27,Instance1,225,-27,190,0.0,Instance2,225,-47,190,0.2,Instance3,225,-39,190,0.8
Object28,Instance1,474,-2,80,0.35,Instance2,474,-40,80,0.18,Instance3,474,-12,80,0.47
Object29,Instance1,274,-45,10,0.91,Instance2,274,-25,10,0.02,Instance3,274,-11,10,0.07
Object30,Instance1,529,-35,10,0.52,Instance2,529,-17,10,0.01,Instance3,529,-4,10,0.48
Object31,Instance1,424,-21,140,0.84,Instance2,424,-20,140,0.03,Instance3,424,-36,140,0.13
Object32,Instance1,658,-33,60,0.87,Instance2,658,-6,60,0.11,Instance3,658,-19,60,0.02
Object33,Instance1,102,-25,200,0.73,Instance2,102,-1,200,0.25,Instance3,102,-20,200,0.02
Object34,Instance1,831,-27,20,0.84,Instance2,831,-11,20,0.04,Instance3,831,-44,20,0.13
Object35,Instance1,883,-23,150,0.2,Instance2,883,-34,150,0.77,Instance3,883,-2,150,0.03
Object36,Instance1,18,-8,150,0.95,Instance2,18,-25,150,0.02,Instance3,18,-3,150,0.02
Object37,Instance1,104,-17,60,0.19,Instance2,104,-29,60,0.02,Instance3,104,-50,60,0.79
Object38,Instance1,381,-2,140,0.67,Instance2,381,-30,140,0.14,Instance3,381,-25,140,0.2
Object39,Instance1,573,-46,120,0.31,Instance2,573,-20,120,0.46,Instance3,573,-30,120,0.23
Object40,Instance1,670,-1,150,0.93,Instance2,670,-16,150,0.03,Instance3,670,-49,150,0.04
Object41,Instance1,633,-30,120,0.64,Instance2,633,-11,120,0.17,Instance3,633,-45,120,0.19
Object42,Instance1,72,-21,20,0.91,Instance2,72,-49,20,0.08,Instance3,72,-21,20,0.01
Object43,Instance1,263,-4,40,0.88,Instance2,263,-3,40,0.08,Instance3,263,-26,40,0.04
Object44,Instance1,361,-33,90,0.9,Instance2,361,-39,90,0.02,Instance3,361,-43,90,0.08
Object45,Instance1,772,-26,110,0.56,Instance2,772,-12,110,0.4,Instance3,772,-9,110,0.03
Object46,Instance1,613,-16,80,0.66,Instance2,613,-38,80,0.24,Instance3,613,-2,80,0.1
Object47,Instance1,947,-31,30,0.72,Instance2,947,-44,30,0.18,Instance3,947,-27,30,0.1
Object48,Instance1,722,-29,50,0.61,Instance2,722,-12,50,0.37,Instance3,722,-31,50,0.02
Object49,Instance1,836,-46,80,0.44,Instance2,836,-19,80,0.28,Instance3,836,-1,80,0.28
Object50,Instance1,54,-8,110,0.75,Instance2,54,-32,110,0.03,Instance3,54,-18,110,0.22
