Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_5,Instance1,972,-7,80,0.9,Instance2,972,-20,80,0.01,Instance3,972,-20,80,0.09
Object2_5,Instance1,701,-42,100,0.97,Instance2,701,-10,100,0.0,Instance3,701,-7,100,0.03
Object3_5,Instance1,657,-4,10,0.21,Instance2,657,-41,10,0.19,Instance3,657,-32,10,0.6
Object4_5,Instance1,327,-20,160,0.67,Instance2,327,-18,160,0.21,Instance3,327,-14,160,0.12
Object5_5,Instance1,167,-9,130,0.96,Instance2,167,-26,130,0.04,Instance3,167,-11,130,0.0
Object6_5,Instance1,798,-33,110,0.92,Instance2,798,-24,110,0.05,Instance3,798,-38,110,0.03
Object7_5,Instance1,53,-3,70,0.47,Instance2,53,-9,70,0.13,Instance3,53,-42,70,0.4
Object8_5,Instance1,175,-1,190,0.22,Instance2,175,-35,190,0.04,Instance3,175,-4,190,0.74
Object9_5,Instance1,804,-23,130,0.14,Instance2,804,-34,130,0.15,Instance3,804,-24,130,0.71
Object10_5,Instance1,939,-34,180,0.9,Instance2,939,-23,180,0.04,Instance3,939,-27,180,0.06
Object11_5,Instance1,406,-45,10,0.46,Instance2,406,-9,10,0.21,Instance3,406,-40,10,0.33
Object12_5,Instance1,503,-32,140,0.02,Instance2,503,-31,140,0.97,Instance3,503,-4,140,0.0
Object13_5,Instance1,444,-11,60,0.46,Instance2,444,-44,60,0.39,Instance3,444,-23,60,0.15
Object14_5,Instance1,737,-49,80,0.95,Instance2,737,-1,80,0.04,Instance3,737,-23,80,0.01
Object15_5,Instance1,455,-34,50,0.08,Instance2,455,-30,50,0.02,Instance3,455,-14,50,0.9
Object16_5,Instance1,727,-10,190,0.81,Instance2,727,-47,190,0.09,Instance3,727,-10,190,0.1
Object17_5,Instance1,29,-45,20,0.01,Instance2,29,-40,20,0.94,Instance3,29,-19,20,0.05
Object18_5,Instance1,448,-2,90,0.68,Instance2,448,-34,90,0.07,Instance3,448,-3,90,0.25
Object19_5,Instance1,44,-35,190,0.73,Instance2,44,-10,190,0.16,Instance3,44,-17,190,0.1
Object20_5,Instance1,196,-36,170,0.47,Instance2,196,-41,170,0.18,Instance3,196,-46,170,0.35
Object21_5,Instance1,222,-3,180,0.84,Instance2,222,-15,180,0.09,Instance3,222,-27,180,0.07
Object22_5,Instance1,127,-43,60,0.5,Instance2,127,-18,60,0.01,Instance3,127,-44,60,0.49
Object23_5,Instance1,7,-47,50,0.71,Instance2,7,-34,50,0.15,Instance3,7,-27,50,0.14
Object24_5,Instance1,375,-10,130,0.8,Instance2,375,-28,130,0.03,Instance3,375,-35,130,0.17
Object25_5,Instance1,197,-7,180,0.43,Instance2,197,-5,180,0.02,Instance3,197,-39,180,0.55
Object26_5,Instance1,726,-41,100,0.12,Instance2,726,-6,100,0.79,Instance3,726,-4,100,0.1
Object27_5,Instance1,738,-47,90,0.77,Instance2,738,-45,90,0.1,Instance3,738,-34,90,0.13
Object28_5,Instance1,420,-49,150,0.03,Instance2,420,-2,150,0.93,Instance3,420,-13,150,0.04
Object29_5,Instance1,704,-4,60,0.69,Instance2,704,-13,60,0.06,Instance3,704,-23,60,0.25
Object30_5,Instance1,184,-33,120,0.27,Instance2,184,-50,120,0.18,Instance3,184,-31,120,0.56
Object31_5,Instance1,634,-24,190,0.2,Instance2,634,-38,190,0.54,Instance3,634,-35,190,0.27
Object32_5,Instance1,377,-28,160,0.41,Instance2,377,-31,160,0.33,Instance3,377,-45,160,0.26
Object33_5,Instance1,298,-15,80,0.64,Instance2,298,-26,80,0.31,Instance3,298,-22,80,0.05
Object34_5,Instance1,820,-36,170,0.08,Instance2,820,-21,170,0.87,Instance3,820,-38,170,0.05
Object35_5,Instance1,168,-1,40,0.37,Instance2,168,-38,40,0.24,Instance3,168,-11,40,0.39
Object36_5,Instance1,680,-23,170,0.44,Instance2,680,-32,170,0.34,Instance3,680,-36,170,0.22
Object37_5,Instance1,182,-8,90,0.37,Instance2,182,-10,90,0.05,Instance3,182,-7,90,0.58
Object38_5,Instance1,542,-34,190,0.35,Instance2,542,-49,190,0.44,Instance3,542,-25,190,0.21
Object39_5,Instance1,838,-33,70,0.71,Instance2,838,-15,70,0.02,Instance3,838,-3,70,0.27
Object40_5,Instance1,902,-9,170,0.69,Instance2,902,-31,170,0.04,Instance3,902,-3,170,0.26
Object41_5,Instance1,976,-41,130,0.28,Instance2,976,-5,130,0.68,Instance3,976,-49,130,0.04
Object42_5,Instance1,128,-32,150,0.11,Instance2,128,-24,150,0.24,Instance3,128,-12,150,0.64
Object43_5,Instance1,671,-31,150,0.34,Instance2,671,-21,150,0.07,Instance3,671,-20,150,0.59
Object44_5,Instance1,226,-25,60,0.9,Instance2,226,-3,60,0.08,Instance3,226,-47,60,0.02
Object45_5,Instance1,210,-5,40,0.53,Instance2,210,-30,40,0.25,Instance3,210,-20,40,0.22
Object46_5,Instance1,11,-24,80,0.23,Instance2,11,-8,80,0.52,Instance3,11,-17,80,0.24
Object47_5,Instance1,746,-35,180,0.2,Instance2,746,-23,180,0.23,Instance3,746,-36,180,0.57
Object48_5,Instance1,209,-9,100,1.0,Instance2,209,-10,100,0.0,Instance3,209,-44,100,0.0
Object49_5,Instance1,732,-10,110,0.86,Instance2,732,-45,110,0.03,Instance3,732,-39,110,0.1
Object50_5,Instance1,862,-22,90,0.85,Instance2,862,-24,90,0.02,Instance3,862,-33,90,0.13
Object51_5,Instance1,61,-24,140,0.7,Instance2,61,-6,140,0.08,Instance3,61,-16,140,0.22
Object52_5,Instance1,857,-23,170,0.27,Instance2,857,-2,170,0.21,Instance3,857,-16,170,0.52
Object53_5,Instance1,334,-46,190,0.05,Instance2,334,-36,190,0.41,Instance3,334,-21,190,0.54
Object54_5,Instance1,326,-31,40,0.52,Instance2,326,-50,40,0.06,Instance3,326,-7,40,0.41
Object55_5,Instance1,740,-50,180,0.13,Instance2,740,-37,180,0.24,Instance3,740,-5,180,0.63
Object56_5,Instance1,500,-17,50,0.94,Instance2,500,-41,50,0.01,Instance3,500,-24,50,0.04
Object57_5,Instance1,248,-32,200,0.19,Instance2,248,-13,200,0.77,Instance3,248,-2,200,0.03
Object58_5,Instance1,109,-9,120,0.87,Instance2,109,-6,120,0.06,Instance3,109,-12,120,0.07
Object59_5,Instance1,959,-49,100,1.0,Instance2,959,-19,100,0.0,Instance3,959,-29,100,0.0
Object60_5,Instance1,257,-43,90,0.33,Instance2,257,-44,90,0.34,Instance3,257,-25,90,0.33
Object61_5,Instance1,61,-11,140,0.67,Instance2,61,-12,140,0.14,Instance3,61,-40,140,0.19
Object62_5,Instance1,414,-29,60,0.53,Instance2,414,-44,60,0.33,Instance3,414,-42,60,0.14
Object63_5,Instance1,645,-39,80,0.49,Instance2,645,-21,80,0.14,Instance3,645,-1,80,0.36
Object64_5,Instance1,843,-35,70,0.77,Instance2,843,-17,70,0.09,Instance3,843,-36,70,0.14
Object65_5,Instance1,15,-7,150,0.37,Instance2,15,-15,150,0.44,Instance3,15,-1,150,0.18
Object66_5,Instance1,44,-20,110,0.93,Instance2,44,-49,110,0.01,Instance3,44,-32,110,0.07
Object67_5,Instance1,266,-17,30,0.88,Instance2,266,-16,30,0.02,Instance3,266,-2,30,0.1
Object68_5,Instance1,68,-44,20,0.29,Instance2,68,-14,20,0.23,Instance3,68,-49,20,0.48
Object69_5,Instance1,434,-18,50,0.21,Instance2,434,-18,50,0.02,Instance3,434,-12,50,0.77
Object70_5,Instance1,505,-40,200,0.6,Instance2,505,-49,200,0.29,Instance3,505,-27,200,0.11
Object71_5,Instance1,651,-4,160,0.62,Instance2,651,-3,160,0.09,Instance3,651,-9,160,0.29
Object72_5,Instance1,442,-7,10,0.21,Instance2,442,-29,10,0.41,Instance3,442,-18,10,0.38
Object73_5,Instance1,223,-38,200,0.22,Instance2,223,-35,200,0.64,Instance3,223,-14,200,0.14
Object74_5,Instance1,812,-5,100,0.92,Instance2,812,-42,100,0.07,Instance3,812,-6,100,0.01
Object75_5,Instance1,249,-25,50,0.03,Instance2,249,-49,50,0.71,Instance3,249,-40,50,0.26
Object76_5,Instance1,42,-22,30,0.51,Instance2,42,-45,30,0.3,Instance3,42,-40,30,0.19
Object77_5,Instance1,213,-45,140,0.63,Instance2,213,-21,140,0.12,Instance3,213,-10,140,0.25
Object78_5,Instance1,377,-4,90,0.48,Instance2,377,-21,90,0.04,Instance3,377,-31,90,0.48
Object79_5,Instance1,72,-15,70,0.35,Instance2,72,-27,70,0.15,Instance3,72,-2,70,0.5
Object80_5,Instance1,257,-34,120,0.14,Instance2,257,-7,120,0.17,Instance3,257,-46,120,0.69
Object81_5,Instance1,784,-30,110,0.09,Instance2,784,-10,110,0.73,Instance3,784,-40,110,0.18
Object82_5,Instance1,362,-34,140,0.4,Instance2,362,-1,140,0.47,Instance3,362,-45,140,0.13
Object83_5,Instance1,135,-34,190,0.38,Instance2,135,-27,190,0.43,Instance3,135,-21,190,0.19
Object84_5,Instance1,137,-19,110,0.73,Instance2,137,-26,110,0.13,Instance3,137,-36,110,0.14
Object85_5,Instance1,337,-18,50,0.52,Instance2,337,-24,50,0.19,Instance3,337,-33,50,0.28
Object86_5,Instance1,174,-29,90,0.73,Instance2,174,-34,90,0.27,Instance3,174,-33,90,0.0
Object87_5,Instance1,307,-3,150,0.37,Instance2,307,-26,150,0.52,Instance3,307,-11,150,0.11
Object88_5,Instance1,968,-23,160,0.5,Instance2,968,-9,160,0.44,Instance3,968,-12,160,0.06
Object89_5,Instance1,579,-42,200,0.19,Instance2,579,-7,200,0.58,Instance3,579,-37,200,0.23
Object90_5,Instance1,979,-16,110,0.41,Instance2,979,-19,110,0.09,Instance3,979,-42,110,0.49
Object91_5,Instance1,324,-37,130,0.09,Instance2,324,-14,130,0.3,Instance3,324,-22,130,0.61
Object92_5,Instance1,152,-34,40,0.01,Instance2,152,-27,40,0.61,Instance3,152,-26,40,0.38
Object93_5,Instance1,346,-18,70,0.34,Instance2,346,-19,70,0.24,Instance3,346,-42,70,0.42
Object94_5,Instance1,425,-28,40,0.19,Instance2,425,-23,40,0.79,Instance3,425,-28,40,0.02
Object95_5,Instance1,12,-38,120,0.54,Instance2,12,-37,120,0.04,Instance3,12,-11,120,0.42
Object96_5,Instance1,696,-18,60,0.27,Instance2,696,-38,60,0.04,Instance3,696,-4,60,0.68
Object97_5,Instance1,603,-24,200,0.58,Instance2,603,-43,200,0.22,Instance3,603,-20,200,0.2
Object98_5,Instance1,323,-12,20,0.34,Instance2,323,-3,20,0.44,Instance3,323,-4,20,0.22
Object99_5,Instance1,634,-36,100,0.3,Instance2,634,-9,100,0.25,Instance3,634,-44,100,0.45
Object100_5,Instance1,268,-46,140,0.17,Instance2,268,-48,140,0.33,Instance3,268,-47,140,0.51
