Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_D,Instance1,646,-38,200,0.48,Instance2,646,-36,200,0.04,Instance3,646,-21,200,0.48
Object2_D,Instance1,489,-43,100,0.92,Instance2,489,-50,100,0.05,Instance3,489,-45,100,0.03
Object3_D,Instance1,794,-40,20,0.69,Instance2,794,-38,20,0.17,Instance3,794,-8,20,0.14
Object4_D,Instance1,81,-46,160,0.93,Instance2,81,-33,160,0.05,Instance3,81,-25,160,0.02
Object5_D,Instance1,159,-32,40,0.2,Instance2,159,-43,40,0.47,Instance3,159,-34,40,0.33
Object6_D,Instance1,128,-17,90,0.27,Instance2,128,-10,90,0.1,Instance3,128,-47,90,0.63
Object7_D,Instance1,907,-29,30,0.74,Instance2,907,-43,30,0.24,Instance3,907,-48,30,0.03
Object8_D,Instance1,571,-3,100,0.32,Instance2,571,-49,100,0.38,Instance3,571,-49,100,0.31
Object9_D,Instance1,70,-22,100,0.31,Instance2,70,-43,100,0.35,Instance3,70,-44,100,0.34
Object10_D,Instance1,130,-7,10,0.62,Instance2,130,-29,10,0.22,Instance3,130,-15,10,0.16
Object11_D,Instance1,100,-24,120,0.9,Instance2,100,-41,120,0.02,Instance3,100,-28,120,0.08
Object12_D,Instance1,439,-36,170,0.01,Instance2,439,-27,170,0.61,Instance3,439,-8,170,0.38
Object13_D,Instance1,721,-49,180,0.74,Instance2,721,-31,180,0.1,Instance3,721,-6,180,0.15
Object14_D,Instance1,12,-32,30,0.75,Instance2,12,-5,30,0.11,Instance3,12,-45,30,0.13
Object15_D,Instance1,734,-48,140,0.35,Instance2,734,-16,140,0.65,Instance3,734,-20,140,0.0
Object16_D,Instance1,23,-50,10,0.78,Instance2,23,-13,10,0.07,Instance3,23,-35,10,0.15
Object17_D,Instance1,69,-10,90,0.04,Instance2,69,-43,90,0.33,Instance3,69,-34,90,0.63
Object18_D,Instance1,322,-18,160,0.54,Instance2,322,-2,160,0.21,Instance3,322,-15,160,0.25
Object19_D,Instance1,963,-43,30,0.69,Instance2,963,-6,30,0.21,Instance3,963,-4,30,0.1
Object20_D,Instance1,834,-22,120,0.33,Instance2,834,-11,120,0.25,Instance3,834,-29,120,0.42
Object21_D,Instance1,557,-33,170,0.37,Instance2,557,-34,170,0.32,Instance3,557,-12,170,0.31
Object22_D,Instance1,318,-13,20,0.92,Instance2,318,-11,20,0.07,Instance3,318,-38,20,0.02
Object23_D,Instance1,308,-11,20,0.63,Instance2,308,-39,20,0.18,Instance3,308,-34,20,0.18
Object24_D,Instance1,8,-30,60,0.05,Instance2,8,-16,60,0.34,Instance3,8,-27,60,0.61
Object25_D,Instance1,347,-11,100,0.2,Instance2,347,-8,100,0.64,Instance3,347,-30,100,0.16
Object26_D,Instance1,749,-9,150,0.44,Instance2,749,-4,150,0.15,Instance3,749,-47,150,0.41
Object27_D,Instance1,290,-36,90,0.77,Instance2,290,-20,90,0.22,Instance3,290,-14,90,0.01
Object28_D,Instance1,881,-22,70,0.29,Instance2,881,-37,70,0.64,Instance3,881,-46,70,0.07
Object29_D,Instance1,651,-20,180,0.52,Instance2,651,-25,180,0.36,Instance3,651,-41,180,0.12
Object30_D,Instance1,621,-12,160,0.65,Instance2,621,-39,160,0.03,Instance3,621,-2,160,0.32
Object31_D,Instance1,772,-13,110,0.51,Instance2,772,-15,110,0.32,Instance3,772,-47,110,0.17
Object32_D,Instance1,400,-26,170,0.81,Instance2,400,-42,170,0.12,Instance3,400,-21,170,0.07
Object33_D,Instance1,583,-46,190,0.96,Instance2,583,-33,190,0.02,Instance3,583,-8,190,0.02
Object34_D,Instance1,944,-24,60,0.76,Instance2,944,-36,60,0.05,Instance3,944,-30,60,0.19
Object35_D,Instance1,626,-35,200,0.75,Instance2,626,-21,200,0.18,Instance3,626,-14,200,0.07
Object36_D,Instance1,655,-39,110,0.76,Instance2,655,-37,110,0.2,Instance3,655,-47,110,0.04
Object37_D,Instance1,236,-42,180,0.47,Instance2,236,-41,180,0.16,Instance3,236,-32,180,0.37
Object38_D,Instance1,906,-45,160,0.43,Instance2,906,-41,160,0.19,Instance3,906,-41,160,0.38
Object39_D,Instance1,79,-8,170,0.37,Instance2,79,-42,170,0.04,Instance3,79,-5,170,0.59
Object40_D,Instance1,216,-1,90,0.96,Instance2,216,-9,90,0.02,Instance3,216,-25,90,0.02
Object41_D,Instance1,447,-35,160,0.52,Instance2,447,-34,160,0.12,Instance3,447,-37,160,0.36
Object42_D,Instance1,15,-6,90,0.55,Instance2,15,-47,90,0.23,Instance3,15,-18,90,0.21
Object43_D,Instance1,803,-18,20,0.23,Instance2,803,-32,20,0.07,Instance3,803,-30,20,0.7
Object44_D,Instance1,381,-22,50,0.47,Instance2,381,-2,50,0.36,Instance3,381,-26,50,0.16
Object45_D,Instance1,673,-8,100,0.74,Instance2,673,-20,100,0.2,Instance3,673,-49,100,0.06
Object46_D,Instance1,633,-5,130,0.79,Instance2,633,-47,130,0.02,Instance3,633,-48,130,0.19
Object47_D,Instance1,724,-46,40,0.77,Instance2,724,-3,40,0.03,Instance3,724,-17,40,0.2
Object48_D,Instance1,616,-30,200,0.46,Instance2,616,-20,200,0.18,Instance3,616,-31,200,0.36
Object49_D,Instance1,685,-35,150,0.53,Instance2,685,-36,150,0.07,Instance3,685,-5,150,0.4
Object50_D,Instance1,869,-29,30,0.83,Instance2,869,-36,30,0.13,Instance3,869,-40,30,0.04
Object51_D,Instance1,573,-24,190,0.14,Instance2,573,-2,190,0.64,Instance3,573,-14,190,0.22
Object52_D,Instance1,887,-38,90,0.92,Instance2,887,-48,90,0.06,Instance3,887,-34,90,0.01
Object53_D,Instance1,303,-44,140,0.7,Instance2,303,-10,140,0.02,Instance3,303,-21,140,0.29
Object54_D,Instance1,778,-32,100,0.9,Instance2,778,-15,100,0.03,Instance3,778,-26,100,0.07
Object55_D,Instance1,408,-40,10,0.54,Instance2,408,-41,10,0.13,Instance3,408,-43,10,0.33
Object56_D,Instance1,931,-21,40,0.45,Instance2,931,-27,40,0.3,Instance3,931,-25,40,0.25
Object57_D,Instance1,917,-27,70,0.85,Instance2,917,-3,70,0.15,Instance3,917,-15,70,0.01
Object58_D,Instance1,66,-27,180,0.69,Instance2,66,-25,180,0.3,Instance3,66,-6,180,0.02
Object59_D,Instance1,690,-44,150,0.79,Instance2,690,-34,150,0.12,Instance3,690,-5,150,0.09
Object60_D,Instance1,416,-12,180,0.67,Instance2,416,-39,180,0.2,Instance3,416,-36,180,0.13
Object61_D,Instance1,305,-33,130,0.75,Instance2,305,-39,130,0.24,Instance3,305,-45,130,0.01
Object62_D,Instance1,850,-44,160,0.18,Instance2,850,-1,160,0.38,Instance3,850,-7,160,0.44
Object63_D,Instance1,104,-21,90,0.61,Instance2,104,-19,90,0.15,Instance3,104,-16,90,0.23
Object64_D,Instance1,650,-31,140,0.71,Instance2,650,-27,140,0.09,Instance3,650,-18,140,0.2
Object65_D,Instance1,794,-30,110,0.5,Instance2,794,-16,110,0.44,Instance3,794,-49,110,0.06
Object66_D,Instance1,419,-3,20,0.36,Instance2,419,-47,20,0.19,Instance3,419,-50,20,0.45
Object67_D,Instance1,959,-38,160,0.44,Instance2,959,-35,160,0.2,Instance3,959,-40,160,0.36
Object68_D,Instance1,686,-48,100,0.44,Instance2,686,-46,100,0.13,Instance3,686,-1,100,0.42
