Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object1_T,Instance1,504,-27,70,0.17,Instance2,504,-24,70,0.13,Instance3,504,-8,70,0.7
Object2_T,Instance1,175,-2,40,0.39,Instance2,175,-5,40,0.3,Instance3,175,-21,40,0.31
Object3_T,Instance1,375,-44,200,0.45,Instance2,375,-9,200,0.27,Instance3,375,-1,200,0.27
Object4_T,Instance1,358,-12,130,0.98,Instance2,358,-22,130,0.0,Instance3,358,-49,130,0.02
Object5_T,Instance1,231,-14,50,0.01,Instance2,231,-27,50,0.49,Instance3,231,-22,50,0.5
Object6_T,Instance1,110,-4,110,0.17,Instance2,110,-17,110,0.39,Instance3,110,-38,110,0.44
Object7_T,Instance1,274,-35,80,0.01,Instance2,274,-43,80,0.49,Instance3,274,-48,80,0.49
Object8_T,Instance1,50,-38,150,0.29,Instance2,50,-1,150,0.27,Instance3,50,-24,150,0.44
Object9_T,Instance1,193,-1,130,0.5,Instance2,193,-12,130,0.13,Instance3,193,-12,130,0.37
Object10_T,Instance1,215,-5,30,0.09,Instance2,215,-7,30,0.18,Instance3,215,-48,30,0.73
Object11_T,Instance1,55,-45,200,0.17,Instance2,55,-6,200,0.69,Instance3,55,-45,200,0.14
Object12_T,Instance1,960,-31,80,0.94,Instance2,960,-19,80,0.05,Instance3,960,-26,80,0.0
Object13_T,Instance1,964,-37,10,0.38,Instance2,964,-41,10,0.58,Instance3,964,-2,10,0.04
Object14_T,Instance1,900,-41,140,0.46,Instance2,900,-48,140,0.28,Instance3,900,-5,140,0.26
Object15_T,Instance1,330,-17,160,0.92,Instance2,330,-40,160,0.03,Instance3,330,-3,160,0.05
Object16_T,Instance1,324,-1,70,0.35,Instance2,324,-16,70,0.44,Instance3,324,-15,70,0.2
Object17_T,Instance1,468,-48,120,0.72,Instance2,468,-5,120,0.1,Instance3,468,-50,120,0.17
Object18_T,Instance1,819,-50,150,0.8,Instance2,819,-39,150,0.05,Instance3,819,-19,150,0.15
Object19_T,Instance1,547,-23,160,0.31,Instance2,547,-48,160,0.34,Instance3,547,-4,160,0.34
Object20_T,Instance1,430,-5,110,0.05,Instance2,430,-12,110,0.28,Instance3,430,-16,110,0.66
Object21_T,Instance1,486,-38,140,0.05,Instance2,486,-45,140,0.0,Instance3,486,-16,140,0.95
Object22_T,Instance1,726,-50,10,0.38,Instance2,726,-29,10,0.25,Instance3,726,-38,10,0.38
Object23_T,Instance1,489,-37,140,0.75,Instance2,489,-23,140,0.05,Instance3,489,-48,140,0.2
Object24_T,Instance1,231,-8,30,0.49,Instance2,231,-28,30,0.41,Instance3,231,-12,30,0.1
Object25_T,Instance1,413,-50,190,0.66,Instance2,413,-20,190,0.24,Instance3,413,-44,190,0.1
Object26_T,Instance1,780,-42,30,0.76,Instance2,780,-19,30,0.11,Instance3,780,-17,30,0.13
Object27_T,Instance1,545,-7,190,0.08,Instance2,545,-21,190,0.2,Instance3,545,-15,190,0.72
Object28_T,Instance1,422,-36,90,0.3,Instance2,422,-18,90,0.63,Instance3,422,-42,90,0.07
Object29_T,Instance1,779,-17,130,0.89,Instance2,779,-32,130,0.05,Instance3,779,-38,130,0.06
Object30_T,Instance1,266,-46,30,0.06,Instance2,266,-13,30,0.56,Instance3,266,-37,30,0.38
Object31_T,Instance1,17,-1,140,0.11,Instance2,17,-10,140,0.51,Instance3,17,-27,140,0.38
Object32_T,Instance1,53,-43,40,0.63,Instance2,53,-30,40,0.14,Instance3,53,-15,40,0.23
Object33_T,Instance1,777,-24,140,0.37,Instance2,777,-19,140,0.48,Instance3,777,-45,140,0.15
