Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Attribute4_1,Attribute5_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Attribute4_2,Attribute5_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Attribute4_3,Attribute5_3,Probability_3
Object1_4,Instance1,116,-1,40,877,864,0.95,Instance2,116,-29,40,57,68,0.01,Instance3,116,-27,40,279,513,0.04
Object2_4,Instance1,443,-2,160,116,59,0.64,Instance2,443,-24,160,70,799,0.11,Instance3,443,-29,160,857,215,0.26
Object3_4,Instance1,896,-11,160,401,543,0.33,Instance2,896,-47,160,361,328,0.32,Instance3,896,-35,160,886,833,0.36
Object4_4,Instance1,427,-42,130,175,774,0.42,Instance2,427,-40,130,443,812,0.46,Instance3,427,-35,130,700,899,0.12
Object5_4,Instance1,164,-15,80,83,101,0.95,Instance2,164,-14,80,87,651,0.02,Instance3,164,-47,80,22,849,0.03
Object6_4,Instance1,645,-3,40,541,605,0.29,Instance2,645,-44,40,703,990,0.26,Instance3,645,-26,40,42,215,0.45
Object7_4,Instance1,104,-12,140,275,283,0.31,Instance2,104,-15,140,361,542,0.47,Instance3,104,-39,140,94,558,0.23
Object8_4,Instance1,675,-31,70,394,969,0.96,Instance2,675,-38,70,513,180,0.0,Instance3,675,-1,70,105,451,0.04
Object9_4,Instance1,631,-30,130,606,327,0.36,Instance2,631,-21,130,570,436,0.42,Instance3,631,-5,130,258,449,0.22
Object10_4,Instance1,795,-24,30,348,652,0.02,Instance2,795,-4,30,530,896,0.67,Instance3,795,-10,30,916,155,0.31
Object11_4,Instance1,135,-35,110,965,24,0.04,Instance2,135,-28,110,747,821,0.09,Instance3,135,-10,110,904,278,0.87
Object12_4,Instance1,186,-19,90,267,182,0.92,Instance2,186,-46,90,945,914,0.04,Instance3,186,-50,90,488,443,0.04
Object13_4,Instance1,942,-9,10,807,372,0.96,Instance2,942,-24,10,624,889,0.03,Instance3,942,-45,10,290,443,0.02
Object14_4,Instance1,834,-14,170,613,562,0.55,Instance2,834,-28,170,884,442,0.43,Instance3,834,-45,170,209,603,0.02
Object15_4,Instance1,886,-22,50,564,875,0.75,Instance2,886,-4,50,522,859,0.15,Instance3,886,-42,50,920,345,0.1
Object16_4,Instance1,221,-16,130,8,118,0.36,Instance2,221,-38,130,531,903,0.32,Instance3,221,-39,130,761,118,0.31
Object17_4,Instance1,387,-9,120,169,534,0.29,Instance2,387,-47,120,358,177,0.28,Instance3,387,-2,120,895,976,0.43
Object18_4,Instance1,986,-23,110,963,155,0.42,Instance2,986,-33,110,860,17,0.23,Instance3,986,-36,110,293,287,0.35
Object19_4,Instance1,313,-30,70,904,306,0.28,Instance2,313,-14,70,602,249,0.18,Instance3,313,-21,70,722,58,0.54
Object20_4,Instance1,363,-1,120,899,148,0.2,Instance2,363,-1,120,455,310,0.62,Instance3,363,-5,120,780,248,0.18
Object21_4,Instance1,395,-32,150,757,980,0.49,Instance2,395,-14,150,203,148,0.4,Instance3,395,-28,150,132,121,0.11
Object22_4,Instance1,177,-9,110,784,608,0.89,Instance2,177,-2,110,742,890,0.09,Instance3,177,-44,110,630,663,0.01
Object23_4,Instance1,724,-31,200,676,79,0.09,Instance2,724,-33,200,916,518,0.53,Instance3,724,-8,200,695,708,0.38
Object24_4,Instance1,226,-23,40,646,481,0.68,Instance2,226,-16,40,893,302,0.3,Instance3,226,-33,40,325,739,0.02
Object25_4,Instance1,376,-26,70,571,250,0.56,Instance2,376,-33,70,474,390,0.11,Instance3,376,-49,70,317,14,0.33
Object26_4,Instance1,512,-1,170,710,428,0.51,Instance2,512,-33,170,19,107,0.01,Instance3,512,-16,170,433,973,0.47
Object27_4,Instance1,216,-13,150,280,394,0.2,Instance2,216,-15,150,235,848,0.5,Instance3,216,-20,150,542,860,0.3
Object28_4,Instance1,115,-12,130,759,186,0.14,Instance2,115,-26,130,953,820,0.15,Instance3,115,-18,130,189,56,0.7
Object29_4,Instance1,696,-5,30,724,265,0.47,Instance2,696,-45,30,587,551,0.31,Instance3,696,-8,30,280,775,0.21
Object30_4,Instance1,515,-14,20,145,700,0.43,Instance2,515,-3,20,892,572,0.49,Instance3,515,-13,20,775,767,0.08
Object31_4,Instance1,595,-27,120,665,624,0.04,Instance2,595,-8,120,471,39,0.39,Instance3,595,-44,120,491,211,0.57
Object32_4,Instance1,348,-33,50,105,931,0.39,Instance2,348,-42,50,68,301,0.45,Instance3,348,-9,50,813,16,0.16
Object33_4,Instance1,614,-19,120,642,144,0.96,Instance2,614,-7,120,874,764,0.01,Instance3,614,-42,120,344,56,0.03
Object34_4,Instance1,445,-40,50,784,973,0.93,Instance2,445,-29,50,738,847,0.0,Instance3,445,-21,50,15,533,0.07
Object35_4,Instance1,831,-4,170,102,856,0.72,Instance2,831,-47,170,764,678,0.02,Instance3,831,-39,170,38,499,0.27
Object36_4,Instance1,647,-47,110,296,747,0.91,Instance2,647,-27,110,776,940,0.04,Instance3,647,-44,110,710,980,0.05
Object37_4,Instance1,52,-39,170,209,648,0.74,Instance2,52,-28,170,509,700,0.14,Instance3,52,-6,170,59,824,0.12
Object38_4,Instance1,473,-39,70,300,903,0.48,Instance2,473,-24,70,522,532,0.36,Instance3,473,-22,70,103,950,0.16
Object39_4,Instance1,532,-37,130,200,724,0.93,Instance2,532,-26,130,798,242,0.01,Instance3,532,-44,130,5,235,0.06
Object40_4,Instance1,875,-24,130,141,893,0.48,Instance2,875,-17,130,547,136,0.36,Instance3,875,-43,130,762,585,0.17
Object41_4,Instance1,829,-18,10,846,367,0.62,Instance2,829,-28,10,522,761,0.24,Instance3,829,-31,10,629,89,0.14
Object42_4,Instance1,98,-2,160,522,285,0.8,Instance2,98,-28,160,833,409,0.17,Instance3,98,-36,160,200,134,0.03
Object43_4,Instance1,686,-37,20,913,693,0.59,Instance2,686,-21,20,645,517,0.06,Instance3,686,-26,20,354,357,0.35
Object44_4,Instance1,621,-30,90,263,955,0.52,Instance2,621,-48,90,625,584,0.1,Instance3,621,-37,90,427,311,0.39
Object45_4,Instance1,497,-38,60,59,461,0.57,Instance2,497,-43,60,214,589,0.03,Instance3,497,-23,60,332,310,0.4
Object46_4,Instance1,555,-39,130,31,696,0.42,Instance2,555,-22,130,351,85,0.23,Instance3,555,-32,130,391,133,0.35
Object47_4,Instance1,670,-23,120,872,22,0.55,Instance2,670,-20,120,566,958,0.09,Instance3,670,-19,120,313,173,0.36
Object48_4,Instance1,431,-49,140,88,554,0.6,Instance2,431,-17,140,418,118,0.3,Instance3,431,-46,140,666,630,0.1
Object49_4,Instance1,802,-28,170,183,707,0.55,Instance2,802,-36,170,875,893,0.12,Instance3,802,-45,170,136,100,0.33
Object50_4,Instance1,781,-39,30,863,396,0.82,Instance2,781,-22,30,645,399,0.07,Instance3,781,-28,30,853,503,0.1
Object51_4,Instance1,600,-29,100,947,601,0.43,Instance2,600,-43,100,343,553,0.01,Instance3,600,-32,100,531,606,0.56
Object52_4,Instance1,210,-16,120,209,962,0.45,Instance2,210,-25,120,215,185,0.19,Instance3,210,-37,120,90,895,0.36
Object53_4,Instance1,646,-16,200,898,397,0.82,Instance2,646,-41,200,501,839,0.16,Instance3,646,-48,200,947,823,0.02
Object54_4,Instance1,833,-16,200,555,17,0.39,Instance2,833,-5,200,813,652,0.09,Instance3,833,-19,200,471,193,0.52
Object55_4,Instance1,6,-29,150,605,240,0.77,Instance2,6,-43,150,558,424,0.04,Instance3,6,-2,150,484,36,0.19
Object56_4,Instance1,266,-49,130,82,359,0.87,Instance2,266,-44,130,834,610,0.12,Instance3,266,-16,130,933,240,0.01
Object57_4,Instance1,617,-48,180,809,260,0.69,Instance2,617,-47,180,738,952,0.23,Instance3,617,-23,180,61,889,0.09
Object58_4,Instance1,997,-30,80,564,441,0.62,Instance2,997,-2,80,400,184,0.24,Instance3,997,-27,80,441,141,0.14
