Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Attribute4_1,Attribute5_1,Attribute6_1,Attribute7_1,Attribute8_1,Attribute9_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Attribute4_2,Attribute5_2,Attribute6_2,Attribute7_2,Attribute8_2,Attribute9_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Attribute4_3,Attribute5_3,Attribute6_3,Attribute7_3,Attribute8_3,Attribute9_3,Probability_3
Object1_my,Instance1,143,32,490,298,424,554,18,804,465,0.33,Instance2,428,140,712,635,475,329,295,333,982,0.32,Instance3,396,278,661,798,583,256,450,192,945,0.35
Object2_my,Instance1,182,130,766,866,300,345,65,739,333,0.15,Instance2,439,802,774,478,660,373,855,400,315,0.26,Instance3,127,928,569,734,976,10,63,110,732,0.59
Object3_my,Instance1,508,929,981,992,655,497,44,957,4,0.1,Instance2,545,570,154,635,785,674,98,64,830,0.45,Instance3,882,916,882,271,132,76,517,127,623,0.45
Object4_my,Instance1,999,954,600,898,613,220,95,494,207,0.51,Instance2,882,644,984,367,187,733,546,775,969,0.42,Instance3,312,999,374,641,47,709,319,71,73,0.07
Object5_my,Instance1,990,494,400,968,825,703,166,987,70,0.57,Instance2,449,137,272,302,528,670,362,948,62,0.0,Instance3,60,128,942,334,965,101,47,554,301,0.43
Object6_my,Instance1,635,31,908,822,680,37,456,967,342,0.37,Instance2,959,380,441,740,621,891,847,208,86,0.34,Instance3,404,743,883,36,835,601,785,609,854,0.29
Object7_my,Instance1,608,801,440,434,754,373,520,14,383,0.4,Instance2,103,293,321,662,954,272,476,755,905,0.38,Instance3,367,420,380,268,470,257,877,567,887,0.22
Object8_my,Instance1,100,415,474,615,320,889,964,612,793,0.52,Instance2,21,127,194,837,799,51,435,22,55,0.14,Instance3,134,998,304,544,816,449,354,474,781,0.35
Object9_my,Instance1,533,883,954,427,957,126,576,507,715,0.27,Instance2,475,888,780,246,838,854,882,276,445,0.37,Instance3,245,523,36,401,354,257,675,545,48,0.36
Object10_my,Instance1,287,427,51,305,614,888,658,997,154,0.08,Instance2,770,135,78,945,487,815,476,409,837,0.74,Instance3,492,441,273,786,869,775,358,357,887,0.18
