Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Probability_3
Object18_T,Instance1,819,-50,150,0.8,Instance2,819,-39,150,0.05,Instance3,819,-19,150,0.15
Object10_T,Instance1,215,-5,30,0.09,Instance2,215,-7,30,0.18,Instance3,215,-48,30,0.73
Object6_T,Instance1,110,-4,110,0.17,Instance2,110,-17,110,0.39,Instance3,110,-38,110,0.44
Object11_T,Instance1,55,-45,200,0.17,Instance2,55,-6,200,0.69,Instance3,55,-45,200,0.14
Object13_T,Instance1,964,-37,10,0.38,Instance2,964,-41,10,0.58,Instance3,964,-2,10,0.04
Object2_T,Instance1,175,-2,40,0.39,Instance2,175,-5,40,0.3,Instance3,175,-21,40,0.31
Object8_T,Instance1,50,-38,150,0.29,Instance2,50,-1,150,0.27,Instance3,50,-24,150,0.44
Object22_T,Instance1,726,-50,10,0.38,Instance2,726,-29,10,0.25,Instance3,726,-38,10,0.38
Object37_T,Instance1,192,-47,110,0.39,Instance2,192,-42,110,0.11,Instance3,192,-50,110,0.5
Object26_T,Instance1,780,-42,30,0.76,Instance2,780,-19,30,0.11,Instance3,780,-17,30,0.13
Object30_T,Instance1,266,-46,30,0.06,Instance2,266,-13,30,0.56,Instance3,266,-37,30,0.38
Object31_T,Instance1,17,-1,140,0.11,Instance2,17,-10,140,0.51,Instance3,17,-27,140,0.38
Object35_T,Instance1,733,-39,20,0.9,Instance2,733,-38,20,0.1,Instance3,733,-32,20,0.0
Object32_T,Instance1,53,-43,40,0.63,Instance2,53,-30,40,0.14,Instance3,53,-15,40,0.23
Object24_T,Instance1,231,-8,30,0.49,Instance2,231,-28,30,0.41,Instance3,231,-12,30,0.1
Object44_T,Instance1,412,-23,110,0.41,Instance2,412,-50,110,0.11,Instance3,412,-16,110,0.48
Object52_T,Instance1,15,-29,150,0.3,Instance2,15,-21,150,0.23,Instance3,15,-36,150,0.47
Object49_T,Instance1,647,-36,50,0.55,Instance2,647,-27,50,0.11,Instance3,647,-9,50,0.33
Object42_T,Instance1,548,-15,80,0.27,Instance2,548,-2,80,0.04,Instance3,548,-42,80,0.69
Object58_T,Instance1,106,-16,150,0.51,Instance2,106,-42,150,0.02,Instance3,106,-48,150,0.47
Object59_T,Instance1,433,-18,120,0.58,Instance2,433,-40,120,0.09,Instance3,433,-4,120,0.34
Object73_T,Instance1,577,-50,130,0.73,Instance2,577,-12,130,0.23,Instance3,577,-50,130,0.04
Object67_T,Instance1,748,-29,50,0.19,Instance2,748,-21,50,0.05,Instance3,748,-43,50,0.76
Object64_T,Instance1,920,-28,10,0.86,Instance2,920,-25,10,0.08,Instance3,920,-27,10,0.06
Object65_T,Instance1,472,-45,100,0.43,Instance2,472,-11,100,0.26,Instance3,472,-11,100,0.31
Object79_T,Instance1,516,-50,160,0.34,Instance2,516,-3,160,0.51,Instance3,516,-2,160,0.15
Object74_T,Instance1,58,-2,20,0.31,Instance2,58,-31,20,0.5,Instance3,58,-38,20,0.19
Object76_T,Instance1,78,-41,170,0.25,Instance2,78,-36,170,0.18,Instance3,78,-17,170,0.57
Object93_T,Instance1,862,-33,30,0.56,Instance2,862,-19,30,0.27,Instance3,862,-27,30,0.17
Object94_T,Instance1,187,-49,50,0.93,Instance2,187,-23,50,0.01,Instance3,187,-35,50,0.06
Object90_T,Instance1,484,-14,40,0.57,Instance2,484,-26,40,0.09,Instance3,484,-24,40,0.34
Object86_T,Instance1,14,-31,90,0.65,Instance2,14,-40,90,0.11,Instance3,14,-14,90,0.24
Object98_T,Instance1,956,-29,10,0.06,Instance2,956,-20,10,0.87,Instance3,956,-27,10,0.07
